"A","39","Texas Instruments ","PCM3060PW","U1","1","PCM3060PW, Interface - CODECs 24B 96/192kHz Asynchronous Stereo","TSSOP-28_4.4x9.7mm_P0.65mm",""
"A","40","STMicroelectronics","STM32MP153DAD","U2","1","STM32MP15xxAD, Cortex A7x2 + M4, 800MHz, TFBGA12x12","TFBGA-257_10x10mm_perP0.5_cntrP0.65",""
"A","41","STMicroelectronics","USBLC6-2SC6","U3","1","USBLC6-2SC6, ESD Protection, pins 3+4, 1+6 shorted","SOT-23-6",""
"A","42","NJR","NJM2068V-TE1","U4, U6, U7, U8, U9, U10, U11, U12","8","NJM2068 Dual Opamp","TSSOP-8_4.4x3mm_Pitch0.65mm",""
"A","43","Winbond","W25Q128JVSIQ","U5","1","NORFLASH_W25Q128JV, 16Mbit QSPI NOR FLASH, 4kb uniform sectors","SOIC-8_5.28x4.9mm_Pitch1.27mm",""
"A","44","ON Semiconductor","NCP51460SN33T1G","U13","1","NCP51460SN33, Precision 3.3V Ref 1% 18PPM 28Vmax 20mAmax","SOT23-3_PO132",""
"A","45","Micron","MT41K256M16TW-107-P-V00H","U14","1","DDR3L-RAM-4Gb_MT41K256M16TW, 4Gbit DDR3L","FBGA-96_Layout2x3x16_Body8x14_P0.8mm",""
"A","46","Diodes Inc","AP62301Z6","U15, U16, U17","3","AP6230xZ6, 3A, 750kHz Buck DC/DC Converter, VinMax>=12V","SOT-563",""
"A","47","Toshiba","TAR5S33UTE85LF","U18, U19","2","TAR5S33U, LDO 3.3V, Min Vin 12V, Enable, Min Iout 50mA","SOT-563-5",""
"A","48","Diodes Incorporated","AP2411SN-7","U20","1","AP2411SN","DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",""
"A","49","Diodes Incorporated","AP2120N-5.0TRG1","V1","1","AP2120N-5.0TRG1, LDO Voltage Regulator, 5v, 150mA","SOT23-3_PO132",""
"A","50","ECS","ECS-240-8-37-CKM-TR3","X1","1","24MHz_8pF_2x1.6mm, 24MHz 8pF Crystal Resonator, 10ppm, 2016 2x1.6mm","Crystal_2.0x1.6mm_4pin",""
"AB","51","Samtec","FTSH-105-01-F-DV","J2","1","Pins_02x05_P1.27mm_SMT, Header 2x5 Pins, Pitch=1.27mm, Pin Height=3mm, Vertical, SMT","Pins_2x05_1.27mm_SMD",""
"AB","52","Amphenol","10118194-0011LF","J3","1","USB_B_Micro_10118194-0011LF, USB Connectors MICRO USD B-TYPE ","USB_Micro-B_Amphenol_10118194_Horizontal",""
"AB","53","Samtec","TSM-105-01-F-DV","JA1, JB1, JC1, JD1","4","Pins_02x05_P2.54mm_SMT, Header 2x5 Pins, Pitch=2.54mm, Pin Height 5.84mm, Vertical, SMT","PinHeader_2x05_P2.54mm_Vertical_SMD",""
"B","54","Samtec","TSW-106-08-G-S-RA","AN1","1","Pins_01x06_RightAngle_P2.54mm_TH, HEADER 1x6 MALE PINS 0.100” 90deg","Pins_1x06_P2.54mm_Horizontal_TH_CroppedSilk",""
"B","55","Samtec","TSW-104-08-G-D-RA","J1","1","Pins_02x04_RightAngle_P2.54mm_TH, HEADER 2x4 MALE PINS 0.100” 90deg Right Angle","Pins_2x04_P2.54mm_Horizontal_altL_CroppedSilk",""
"D","56","Posin","brainboard-mp1-v1.0","PCB1","1","PCB, FR4, ENIG, 4-layer, matte black mask, white silk","",""
"D","57","Cixi Lanling","LL1044-1B","SJ1, SJ2","2","Shunt Jumper, 2.54mm pitch, 2 position","",""
